f,r,x
13.747650,3238.32,-10000.00
13.772600,3153.56,-10000.00
13.797550,3049.90,-10000.00
13.822500,2992.19,-10000.00
13.847450,2919.26,-10000.00
13.872400,2844.01,-10000.00
13.897350,2768.68,-10000.00
13.922300,2703.36,-10000.00
13.947250,2654.82,-10000.00
13.972200,2577.69,-10000.00
13.997150,2526.51,-10000.00
14.022100,2464.22,-10000.00
14.047050,2406.29,-10000.00
14.072000,2368.72,-10000.00
14.096950,2296.78,-10000.00
14.121900,2236.85,-10000.00
14.146850,2193.63,-10000.00
14.171800,2162.44,-10000.00
14.196750,2103.71,-9960.88
14.221700,2062.17,-9866.59
14.246650,2022.07,-9773.74
14.271600,1971.06,-9655.35
14.296550,1938.56,-9578.19
14.321500,1897.22,-9480.06
14.346450,1855.12,-9377.93
14.371400,1816.46,-9283.36
14.396350,1785.94,-9207.44
14.421300,1742.47,-9099.57
14.446250,1705.67,-9006.20
14.471200,1678.40,-8936.35
14.496150,1646.53,-8854.03
14.521100,1614.49,-8770.03
14.546050,1578.05,-8673.79
14.571000,1545.84,-8588.18
14.595950,1516.77,-8508.72
14.620900,1489.80,-8435.06
14.645850,1463.20,-8361.76
14.670800,1434.47,-8281.39
14.695750,1408.36,-8207.92
14.720700,1384.05,-8138.16
14.745650,1359.46,-8067.47
14.770600,1332.97,-7990.47
14.795550,1302.02,-7899.40
14.820500,1283.34,-7843.87
14.845450,1260.14,-7774.57
14.870400,1238.29,-7708.49
14.895350,1220.10,-7652.82
14.920300,1199.63,-7589.98
14.945250,1174.61,-7512.05
14.970200,1158.62,-7461.54
14.995150,1137.43,-7394.80
15.020100,1122.81,-7348.23
15.045050,1097.52,-7266.50
15.070000,1083.45,-7221.12
15.094950,1064.52,-7158.68
15.119900,1046.15,-7097.70
15.144850,1027.96,-7036.92
15.169800,1010.17,-6977.21
15.194750,996.14,-6928.90
15.219700,977.67,-6866.01
15.244650,963.15,-6815.47
15.269600,950.46,-6771.14
15.294550,934.54,-6715.27
15.319500,919.16,-6660.55
15.344450,904.89,-6609.48
15.369400,892.99,-6566.58
15.394350,876.92,-6508.16
15.419300,865.08,-6464.56
15.444250,848.34,-6402.56
15.469200,835.66,-6355.20
15.494150,825.31,-6316.36
15.519100,813.62,-6272.14
15.544050,801.13,-6224.16
15.569000,788.07,-6174.01
15.593950,776.91,-6130.89
15.618900,766.09,-6088.60
15.643850,754.33,-6042.15
15.668800,742.65,-5995.85
15.693750,732.76,-5956.18
15.718700,723.27,-5918.10
15.743650,712.20,-5873.11
