f,r,x
7.585000,172.45,-2885.22
7.609950,170.57,-2869.09
7.634900,169.06,-2856.07
7.659850,167.47,-2842.30
7.684800,165.92,-2828.83
7.709750,163.88,-2811.05
7.734700,162.38,-2797.79
7.759650,160.75,-2783.48
7.784600,159.34,-2771.14
7.809550,157.91,-2758.40
7.834500,156.51,-2745.85
7.859450,154.97,-2732.03
7.884400,153.60,-2719.73
7.909350,152.20,-2706.94
7.934300,150.78,-2694.14
7.959250,149.37,-2681.17
7.984200,148.12,-2669.70
8.009150,146.73,-2656.87
8.034100,145.30,-2643.55
8.059050,143.95,-2630.97
8.084000,142.59,-2618.12
8.108950,141.43,-2607.21
8.133900,139.97,-2593.47
8.158850,138.98,-2584.05
8.183800,137.83,-2573.16
8.208750,136.84,-2563.87
8.233700,136.41,-2560.12
8.258650,135.38,-2550.16
8.283600,134.12,-2538.06
8.308550,132.85,-2525.62
8.333500,131.62,-2513.57
8.358450,130.26,-2500.18
8.383400,129.20,-2489.68
8.408350,128.04,-2478.32
8.433300,126.91,-2467.05
8.458250,125.74,-2455.32
8.483200,124.70,-2445.05
8.508150,123.53,-2433.13
8.533100,122.71,-2424.68
8.558050,121.67,-2414.33
8.583000,120.67,-2404.04
8.607950,119.70,-2393.96
8.632900,118.77,-2384.54
8.657850,117.78,-2374.23
8.682800,116.61,-2362.01
8.707750,115.77,-2353.33
8.732700,114.75,-2342.68
8.757650,113.63,-2330.82
8.782600,112.72,-2321.17
8.807550,111.73,-2310.75
8.832500,110.80,-2300.57
8.857450,109.65,-2288.26
8.882400,108.59,-2276.69
8.907350,107.66,-2266.59
8.932300,106.48,-2253.75
8.957250,105.29,-2240.48
8.982200,104.15,-2227.85
9.007150,103.05,-2215.46
9.032100,102.13,-2205.12
9.057050,101.19,-2194.52
9.082000,100.23,-2183.77
9.106950,99.13,-2171.17
9.131900,98.20,-2160.46
9.156850,97.31,-2150.22
9.181800,96.31,-2138.81
9.206750,95.53,-2129.56
9.231700,94.61,-2118.86
9.256650,93.71,-2108.41
9.281600,92.80,-2097.63
9.306550,91.88,-2086.70
9.331500,90.93,-2075.30
9.356450,90.16,-2066.22
9.381400,89.26,-2055.34
9.406350,88.47,-2045.83
9.431300,87.77,-2037.33
9.456250,86.95,-2027.38
9.481200,86.17,-2017.63
9.506150,85.39,-2008.10
9.531100,84.54,-1997.77
9.556050,83.82,-1988.82
9.581000,83.03,-1979.05
9.605950,82.23,-1968.95
9.630900,81.52,-1960.13
9.655850,80.71,-1949.84
9.680800,80.04,-1941.31
9.705750,79.32,-1932.23
9.730700,78.58,-1922.81
9.755650,77.86,-1913.37
9.780600,77.15,-1904.35
9.805550,76.40,-1894.49
9.830500,75.72,-1885.80
9.855450,74.99,-1876.23
9.880400,74.29,-1866.99
9.905350,73.66,-1858.70
9.930300,72.91,-1848.68
9.955250,72.27,-1840.14
9.980200,71.59,-1831.12
10.005150,70.90,-1821.65
10.030100,70.28,-1813.24
