f,r,x
11.452250,10000.00,10000.00
11.477200,10000.00,10000.00
11.502150,10000.00,10000.00
11.527100,10000.00,10000.00
11.552050,10000.00,10000.00
11.577000,10000.00,10000.00
11.601950,10000.00,10000.00
11.626900,10000.00,10000.00
11.651850,10000.00,10000.00
11.676800,10000.00,10000.00
11.701750,10000.00,10000.00
11.726700,10000.00,10000.00
11.751650,10000.00,10000.00
11.776600,10000.00,10000.00
11.801550,10000.00,9806.04
11.826500,10000.00,8639.14
11.851450,10000.00,7446.69
11.876400,10000.00,6183.99
11.901350,10000.00,4986.13
11.926300,10000.00,3627.47
11.951250,10000.00,2311.19
11.976200,10000.00,1013.73
12.001150,10000.00,-496.35
12.026100,10000.00,-1778.28
12.051050,10000.00,-3338.22
12.076000,10000.00,-5015.31
12.100950,10000.00,-6269.31
12.125900,10000.00,-7542.93
12.150850,10000.00,-9116.24
12.175800,10000.00,-10000.00
12.200750,10000.00,-10000.00
12.225700,10000.00,-10000.00
12.250650,10000.00,-10000.00
12.275600,10000.00,-10000.00
12.300550,10000.00,-10000.00
12.325500,10000.00,-10000.00
12.350450,10000.00,-10000.00
12.375400,10000.00,-10000.00
12.400350,10000.00,-10000.00
12.425300,10000.00,-10000.00
12.450250,10000.00,-10000.00
12.475200,10000.00,-10000.00
12.500150,10000.00,-10000.00
12.525100,10000.00,-10000.00
12.550050,10000.00,-10000.00
12.575000,10000.00,-10000.00
12.599950,10000.00,-10000.00
12.624900,10000.00,-10000.00
12.649850,10000.00,-10000.00
12.674800,10000.00,-10000.00
12.699750,10000.00,-10000.00
12.724700,10000.00,-10000.00
12.749650,10000.00,-10000.00
12.774600,10000.00,-10000.00
12.799550,10000.00,-10000.00
12.824500,10000.00,-10000.00
12.849450,10000.00,-10000.00
12.874400,10000.00,-10000.00
12.899350,10000.00,-10000.00
12.924300,10000.00,-10000.00
12.949250,10000.00,-10000.00
12.974200,9770.71,-10000.00
12.999150,9341.91,-10000.00
13.024100,8943.35,-10000.00
13.049050,8652.82,-10000.00
13.074000,8371.46,-10000.00
13.098950,8045.34,-10000.00
13.123900,7732.66,-10000.00
13.148850,7556.77,-10000.00
13.173800,7178.05,-10000.00
13.198750,6971.88,-10000.00
13.223700,6638.13,-10000.00
13.248650,6417.95,-10000.00
13.273600,6213.56,-10000.00
13.298550,6023.33,-10000.00
13.323500,5840.02,-10000.00
13.348450,5586.52,-10000.00
13.373400,5422.65,-10000.00
13.398350,5296.86,-10000.00
13.423300,5113.14,-10000.00
13.448250,4941.70,-10000.00
13.473200,4797.83,-10000.00
13.498150,4653.32,-10000.00
13.523100,4513.33,-10000.00
13.548050,4372.36,-10000.00
13.573000,4270.09,-10000.00
13.597950,4168.69,-10000.00
13.622900,4037.67,-10000.00
13.647850,3916.12,-10000.00
13.672800,3833.73,-10000.00
13.697750,3721.34,-10000.00
13.722700,3622.82,-10000.00
13.747650,3517.50,-10000.00
13.772600,3473.32,-10000.00
13.797550,3352.58,-10000.00
13.822500,3237.72,-10000.00
13.847450,3196.34,-10000.00
13.872400,3125.52,-10000.00
13.897350,3043.39,-10000.00
13.922300,2963.45,-10000.00
13.947250,2906.65,-10000.00
13.972200,2836.40,-10000.00
13.997150,2750.81,-10000.00
14.022100,2724.97,-10000.00
14.047050,2637.79,-10000.00
14.072000,2579.45,-10000.00
14.096950,2514.85,-10000.00
14.121900,2480.49,-10000.00
14.146850,2404.49,-9957.18
14.171800,2371.94,-9837.35
14.196750,2311.03,-9760.93
14.221700,2251.92,-9632.93
14.246650,2187.97,-9558.68
14.271600,2136.74,-9456.95
14.296550,2097.32,-9376.09
